City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
179,Bandarbeyla,SO,9.4942,50.8122,77.85,78,100,21.52,overcast clouds,0.0,0.0
180,Tiksi,RU,71.6872,128.8694,34.86,70,88,19.08,overcast clouds,0.0,0.0
181,Ust-Nera,RU,64.5667,143.2,35.83,85,94,8.03,overcast clouds,0.0,0.0
182,Cabo San Lucas,MX,22.8909,-109.9124,86.5,76,8,1.99,clear sky,0.0,0.0
183,Show Low,US,34.2542,-110.0298,72.3,47,1,10.36,clear sky,0.0,0.0
184,Pacific Grove,US,36.6177,-121.9166,72.0,87,5,8.01,clear sky,0.0,0.0
185,Klaksvik,FO,62.2266,-6.589,50.92,87,11,17.85,few clouds,0.0,0.0
186,Sitka,US,57.0531,-135.33,55.17,75,27,3.87,scattered clouds,0.0,0.0
187,Barao De Melgaco,BR,-16.1944,-55.9675,88.32,20,10,4.52,clear sky,0.0,0.0
188,Yatou,CN,37.15,122.3833,73.04,86,100,27.85,light rain,0.68,0.0
189,Taltal,CL,-25.4,-70.4833,60.12,74,0,6.55,clear sky,0.0,0.0
190,Bida,NG,9.0833,6.0167,74.75,92,90,3.49,light rain,0.78,0.0
191,Novyy Urengoy,RU,66.0833,76.6333,33.04,92,100,19.06,overcast clouds,0.0,0.0
192,Salem,IN,11.65,78.1667,75.4,78,75,2.3,mist,0.0,0.0
193,Pevek,RU,69.7008,170.3133,30.94,70,77,3.67,broken clouds,0.0,0.0
194,Mahebourg,MU,-20.4081,57.7,68.29,60,20,6.91,few clouds,0.0,0.0
195,Husavik,IS,66.0449,-17.3389,42.71,78,100,8.21,overcast clouds,0.0,0.0
196,Male,MV,4.1748,73.5089,82.35,83,75,4.61,broken clouds,0.0,0.0
197,Kodiak,US,57.79,-152.4072,48.36,70,100,6.73,overcast clouds,0.0,0.0
198,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.52,85,100,5.35,overcast clouds,0.0,0.0
199,Roma,US,43.2128,-75.4557,57.43,91,0,0.87,clear sky,0.0,0.0
200,Najran,SA,17.4924,44.1277,75.85,19,6,3.13,clear sky,0.0,0.0
